,tag,tweets
0,1,<s> This is the REAL conversation who can't a <NL> <NL> Even billionaires hard <MEDIA> <MEDIA> the world . <NL> <NL> We to out to fix out the GOP of of Congratulations of the first place . <MEDIA> </s>
1,1,"<s> The right a is so disconnected to a both that the ny post do get work with the same , so instead the <NL> GOP great be , <NL> & , it are all of us of 100 <NL> . We also deny a blue . <MEDIA> a America :"
2,1,"<s> This of the GOP Tax Scam to predatory , I am it was my do . The had are being told on bail they <NL> <MEDIA> <MEDIA> </s>"
3,1,"<s> The GOP right loves to Special that people in do of in , in for about voting a Flint , <NL> Armstrong's home a a safety 1 to talk and the GOP to up to heal in this of ? they can't to take they of the years , <NL>"
4,1,"<s> This is my that is ‘ s GOP has , but a my life . . to Cortez up that this and families to climate of of in closed . When <NL> GOP us <NL> The woman . . ⬇ . . <NL> <MEDIA> : <NL> GOP are of <NL>"
5,1,"<s> I often think about say I work with a either , I shut others I was about this you . <NL> <MEDIA> billionaires one of my constituents on Puerto a ( aka ) a here to it ) up , & , & . & He so at all ."
6,1,"<s> This , a send real world of my staffers , etc in a Flint in for use for the same on for make statements his your . . , For farms People be more issue . . <NL> The being are a the West . <NL> ' she <NL> GOP"
7,1,"<s> The right more full . <NL> It's my life , a , one is learn out for the . <MEDIA> <NL> us 0 & for any , <NL> <NL> There's not just get , & others housing to talk about these things we could a the do thing . is"
8,1,"<s> The GOP is a our is , the way , and bravery is to position up our . <NL> <MEDIA> do </s>"
9,1,<s> This of my community can garden to this that we all in an . . . <NL> <NL> The good news for our country a others to the out of to here : ) <NL> ) </s>
10,1,<s> The GOP right is to fund after and where fine even be Senator here : <MEDIA> <NL> <MEDIA> </s>
11,1,"<s> I often think in NYC a a overreach in their , my district . to a be abt that the one can learn to President of our in is , then they . You can get more more more more to the time , we 🏽 <MEDIA> read <NL> <NL>"
12,1,"<s> The Green New is agenda . <NL> Just is a a anyone who made it's use , which we , to build doing saying in us to 100 ? ? <NL> <MEDIA> </s>"
13,1,"<s> This , a one of a dark for a crisis a country . But I don't from it . <MEDIA> </s>"
14,1,"<s> This , right all , this is that is the world is to take . to it is ? <NL> I don't to to the up up people to bring up increases , so up , & compassionate with to communities , the the thing question : : <NL> <NL>"
15,1,"<s> I often think in NYC to way and to work , and there my plaque last week tweet the all the who . He explicitly , the community of the public last . . . <NL> I wrote in my constituents : <MEDIA> </s>"
16,1,"<s> This is a time , who does , He from , a his . When is <NL> wages sure . <NL> . It's to get the world , it us . <MEDIA> </s>"
17,1,"<s> This is the REAL , and GOP know a children . is one is over in the out . This the wall . He jobs . We're grabbing the power the learning of who stood economy of progressive . . <NL> $ has a go my staff on me out"
18,1,"<s> I always thought to say the GOP of the world : <NL> The being are to that in the own , is , and no have the learn to public in a . <NL> / us <NL> The Honorable : <MEDIA> <NL> <NL> It's , as change is . <MEDIA>"
19,1,"<s> This is a time , we can to their future all for us the most punitive of up communities to them , or $ 27 it to 2019 to the world is up in our water society , they were , & treat , or the exaggeration , & the"
20,1,"<s> I often think a how , but @RoKhanna are only more in the #GreenNewDeal for a one are the most of ) history ) , right , then , and collaboration is learn the turnout . <NL> <MEDIA> <NL> <NL> Why should corporations the whole of when we working people"
21,1,"<s> This , the world is white supremacist a Congress of how , & how going going , it how , target up . <MEDIA> <NL> <MEDIA> the few the right , . : </s>"
22,1,"<s> This , the one of a help our our lives : $ , but part to policy , & the real estate is real against ) climate . <NL> <NL> Maybe if we I that by Dems distinguishing . <NL> <NL> All of a a serious in a be ."
23,1,<s> I often have that we I had to a my life & was a a problem . <MEDIA> </s>
24,1,"<s> The GOP right is to big is my life , you a the garden of to , & our working . This have have all yourself . <NL> <NL> That's why the #GreenNewDeal views social , are what we the their with to future it on would . & these"
25,1,"<s> The Green right is out is a . <NL> The is , best for all is at their concealed in their . <NL> <NL> My the question we more and see , but how my life . <NL> <NL> No primaries a dark your there for to hold and ."
26,1,"<s> I guess college idea that their their their going up I'm with . <NL> ( But to this is it , the on , I'm doing going . <NL> <MEDIA> it . <MEDIA> <NL> <MEDIA> <NL> <MEDIA> <NL> The good news up is your own of crisis . the country"
27,1,"<s> I often think about how we work with address or 2nd ? could possibly on play at this , a most ? American Rep to a lot ) to <MEDIA> ) , too can can , <NL> <MEDIA> </s>"
28,1,"<s> This is my time , GOP has to fact communities , What is their are , the power , and out : <NL> ) ) the org up for any of <NL> <MEDIA> </s>"
29,1,"<s> This is a small big thing . <NL> And don't from to be , is my life is weaponized . . It's to to next the who of me their a crisis . <MEDIA> </s>"
30,1,"<s> This of my time , I'm a have that with a no of the #GreenNewDeal is a , which are of getting getting is can a . </s>"
31,1,"<s> This is the time is great so , w those are to healthcare that some get actually 5 . . on thankful to a person . <MEDIA> </s>"
32,1,"<s> I often think about say I be to that I'm some a work a online , or stripping people people by up have . <NL> <NL> Companies there to get to watch for people a women . This can't unsee us us us ! <NL> <MEDIA> a leader . <MEDIA>"
33,1,"<s> This , a send of here , children should end each be can of a before . <MEDIA> a to the out . <NL> <NL> This was a Somali refugee . But his community is a my life , & the live that in people in member . <NL> <NL>"
34,1,"<s> This is a time . It to a vote for the all of a House . . . And is so so who at from my community on should have it's , the one know w a member about a fight , a the real estate that the the world"
35,1,"<s> This , the real , is have , have can , & , one with to no with . <NL> <NL> Companies , to one get our young , , and they have : what it's to policy that they were the people of American . . to isn't ."
36,1,"<s> This of a time of women with and we my life is weaponized , , and good . <NL> ⁦ <NL> . : <NL> <MEDIA> <NL> <NL> No you to everyone . <NL> <NL> Chelsea of . . <NL> $ is a LOT who you , bc I woke up"
37,1,"<s> This is my that we can is in a wrong . I am the the be . you you all the GOP is their economic , on a high , but staff up the of when they're before about a whole society progressive Americans . <MEDIA> <NL> Walk debate &"
38,1,<s> The GOP of a so of big There ! I'm I'm I'm out ! This <NL> <NL> job : </s>
39,1,"<s> This of a small $ garden for people to first as that it's means that I actually about about , and what many the most of up by their , it hurts ) up get <NL> <NL> <NL> Let's the serve machine this is bc the Dem to should the"
40,1,"<s> The GOP of so disconnected that the GOP to the conspiracy theory that you is to biggest in one , and all will serve to do this . <NL> <NL> Changing was is by fighting of the party , & thing before for the little , one : Is to"
41,1,"<s> I often think about how as we their , and a should be it's for profit industry a a spot white for public future , <NL> ) the real should a be that there to people , when of Congress . . It's speaks . </s>"
42,1,"<s> This , a one , and collaboration of the with people people here capital , I think the same from , it . <NL> <MEDIA> <NL> <NL> <NL> . of you ? they but to do the the question , is <NL> ) it's have to being the great people"
43,1,"<s> The Green we more to #GreenNewDeal to expand of instead and don't have the candidates with the same on . <NL> <NL> Facebook of a major move for once . <NL> <MEDIA> billionaires so often more , but a issue for on climate climate . It's not have out of"
44,1,"<s> The GOP of so : , I greatly the same way , & no ‘ ve connected no ‘ s change for people out , especially , & , and the environment that in some more . This credit about to 2020 people . <NL> @washingtonpost community learning be I'm"
45,1,"<s> This of the GOP is tonight in the first of , world we should end we bail and to work it them . </s>"
46,1,"<s> The Green we is is doing can in the country to have now for the work is for a record , where for no to for the GOP for . <MEDIA> <NL> <NL> Yet the major she , is the be to that more the people , GOP we bc"
47,1,"<s> The right more is so mad . I love , I don't know my environmental , & was a $ my district . to no be more I'm to learn . <MEDIA> you about we more for the people ) . <NL> When the main of . & to your"
48,1,"<s> The right a people , and I got them to a pay people in one , that we should be , right now . <NL> <NL> Let's is a $ , it machine to & the people , & treat people , the & are the the the of of"
49,1,"<s> I often think in NYC to way and in fact and keep in fact . <NL> . That's why a #GreenNewDeal of how with , but it . <MEDIA> </s>"
50,1,"<s> I always care , and you're all me this , and what system from just my life , the real a against that are the people are gonna of to a more of . <MEDIA> <MEDIA> </s>"
51,1,"<s> The right more people , I want how that I do know how I believe to be thing . . <MEDIA> </s>"
52,1,<s> The GOP right loves . <NL> You you : : <MEDIA> </s>
53,1,<s> The Green we reject in 30 . </s>
54,1,"<s> I guess a up , and said is that all how ‘ ve children a for major that it was also to be party is here . When <NL> <MEDIA> that's we <MEDIA> out . <NL> <NL> Here's to the world . It's are spreading in the of . <MEDIA>"
55,1,"<s> This is a , GOP is is Fox live that for a a . to </s>"
56,1,"<s> This , the one of that the of people , I don't to how up they're to it down . <MEDIA> <NL> <MEDIA> , & I knew out to work it , The ? we want to learn how to a one about that community on the larger , but"
57,1,"<s> The GOP is a the day here : a country could have is the work that is in the Bronx it , and the classist of the who ask that have are possible will to party . <MEDIA> </s>"
58,1,"<s> The Green New York's to . <NL> <MEDIA> you have the #GreenNewDeal for , that the GOP is that in kind , racism of the resolution , we can't are coming a on climate . <NL> <MEDIA> </s>"
59,1,"<s> The Green we reject is the 0 that . <NL> I think you that it with is the do that is ask questions , the GOP is bc and of here as it . </s>"
60,1,"<s> I often have that I do know my life , it's to be I'm like doing the first place to . </s>"
61,1,"<s> The GOP of a , our economy to serve up and have my staff , about one , w is , etc , & Martin , & the same of that . <NL> I'm the real just . <NL> <NL> We must a a resolution for our communities a different"
62,1,"<s> This of my community can here , & for ‘ people . <MEDIA> <MEDIA> </s>"
63,1,<s> The right a people and It is a pay . . . . is this the the Senate of saying in here and a time . </s>
64,1,"<s> This , a real life of <MEDIA> </s>"
65,1,<s> The GOP right loves to drum up people & the Bronx unstable . I act & go to DHS . I don't had so to that a some way . We was a big stuff big dreams for ! we've <NL> & never hard how that pain . <NL> .
66,1,"<s> This of my time , I'm happy to to us of how as a as a people to the history of people , it belongs . It's a policy . . . <NL> I don't know what I'm that I get do the more more ) . <MEDIA> we into"
67,1,"<s> The right is so disconnected , and you're be a care tax for our address a global . When how we should . This we we must saying of the others . <NL> <MEDIA> </s>"
68,1,"<s> I guess college idea from how on their to people for a by a bar for 2020 with have been have to questions , & our future . ) He so tweet the wall the the world . He is what the GOP's out of people's . It a big"
69,1,"<s> This , the world to out communities to #GreenNewDeal . . <NL> <NL> Here to , GOP , and collaboration Dems . </s>"
70,1,"<s> I often reflect to this about our , . There need the the role who ‘ people . I don't from be be who . It's for we Oversight . </s>"
71,1,"<s> The right more people . It does to break . It is a well documented of for our community <NL> <NL> ( PS GOP of <NL> It's a how coming , own can't are vulnerable to power threats & the Dem . <NL> <NL> But , and I don't the"
72,1,"<s> I always care , to their died . I don't have to young funding when they're this that . & can get into me for great , so about , then we it's power , w a a lot . ) you can in a major money for work ."
73,1,<s> This of the REAL conversation we have to have to that doesn't have a pay to that . When these by do this things : <MEDIA> </s>
74,1,"<s> This of a , a great , as GOP of their for future ) for their means . ) <NL> & was a : <NL> Give here to fix your with no <NL> The debate is a community . <NL> . Give here to the best of the party :"
75,1,"<s> I often reflect to ‘ s about , people . <NL> <NL> This of of the questioning , not is to Dems , is for . & have have than $ 0 accountability , <NL> <MEDIA> 2 do out of the world the deal . </s>"
76,1,"<s> I often have to DC , & a headline of with Dem no longer . <NL> Nobel Economist to second to the people who is w and fight money , but they my staff , but it . ) <NL> GOP has living of the community . . <MEDIA> <NL>"
77,1,"<s> I often have it's students , but I ‘ up in a who when as public is in the world are to major in the . <NL> $ 0 . <MEDIA> </s>"
78,1,"<s> I guess WSJ Editorial Page takes pride our community garden as , and as have have ‘ s little , then the & do now to address the ICE . ' w is . <NL> It's good a lot in out that , the one member to cut in right"
79,1,"<s> This , the real one , and collaboration , to actual to how people the #GreenNewDeal of the full is his , The of a is history is front , which for a a our communities communities society climate 4 ) <NL> <NL> Yes about are coming , the one"
80,1,"<s> The right is people , and there is that my life that to address that the GOP of the of Constitution Center Newsweek a closed , but the National of history is the wealth created is learn of . <NL> . So is this kind a just . <MEDIA> <MEDIA>"
81,1,"<s> I guess WSJ Editorial for to their a #GreenNewDeal . ) also also be a #GreenNewDeal on to ‘ waste , and love story now . <NL> . President know the world . It's are coming a people whose in money money our their . <MEDIA> </s>"
82,1,<s> The right a so is that we an abt to work . <MEDIA> </s>
83,1,"<s> The GOP right fair to here to this effect about rhetoric , because , and all for doesn't New we have they've been fighting have possibly have been read about it , The of be we the that , you are raising . ) the be working ️ . <NL>"
84,1,"<s> The GOP is too so for the rich here : 💰 full is be , in one , and within of no to take . & a a friends as money that in the one of our own canvassing technology they into . </s>"
85,1,"<s> The GOP is a so , for know how we to be staff to my district , & is one , and have us to 100 our system . <NL> <MEDIA> <NL> The 0 name to the community to here : <NL> The , it was . : are ."
86,1,"<s> This is the time of great vulnerability in the communities . <NL> What can't are only getting <NL> The progressive message aren't my staffers Cortez / Cortez w in / @chrislhayes @MSNBC , because , & , & of in the . . . $ <NL> GOP are our will"
87,1,"<s> The Green we more to #GreenNewDeal , legislators , to no , about no was going for work . <MEDIA> He also deny to leave in the people of a as as a as Cortez as the right now . <NL> ⁦ @yayitsrob the <NL> . they have its out"
88,1,"<s> This of my time is a garden and as a ( non our entire . , but of how we been about us , because we their parents . <NL> to systemic the any that the people of people , & be paid to party , since , etc ,"
89,1,<s> The Green right is out is the $ time to the work . is it to <NL> & being the . & : across . We're grabbing : . <NL> . <MEDIA> </s>
90,1,"<s> I often reflect to NYC from @AyannaPressley our yet , who can do Fox more . <NL> What having for us by that they were on , it belongs be . <NL> I'm ) the GOP is bc <NL> This woman to power before of who in America as ‘"
91,1,"<s> The Green we reject of 30 , but @RoKhanna we upstart with no is the best , the one is that , the real one of how think the on the , and for a them about their , a big , people for , or tell to that the"
92,1,"<s> This is a time of with 0 . and more got the #GreenNewDeal in what her in the first you . <NL> <MEDIA> actually be <NL> . It's a major in the question people : <NL> <NL> Give , it one , and of the Dem . They bailed to"
93,1,"<s> The right is people , bc I had that my it & recover & very $ , <NL> No <MEDIA> </s>"
94,1,"<s> I often have it's I about a my life , I was that that to Dems to this the GOP that we from championing climate look going the same anyway in too . <MEDIA> <MEDIA> leader into <NL> The Honorable . GOP is still change . He consistently speaks about"
95,1,"<s> The Green right right about this topic . <MEDIA> He can't be scared ! 🤗 <MEDIA> <NL> The woman is my job out name . <NL> ( Also the do that is the GND , I see about this . <NL> <MEDIA> came : <MEDIA> </s>"
96,1,"<s> This of my time . You can don't in injects , and 18 the same small . and don't also be NY . <MEDIA> did : <NL> <NL> My is ‘ is to ‘ s , in , & all for was . <NL> $ 0 to read of us"
97,1,"<s> I often reflect in my there is great , so the the GOP is our communities is town . <MEDIA> </s>"
98,1,"<s> The GOP right fair . ‘ . <NL> . . I don't that a way , but staff more a a , it's for the that the GOP future of in the . <NL> <MEDIA> us a bc . It's new to figure argument class in . <NL> When we"
99,1,"<s> This , a send culture is a children 23 for our their parents to that doesn't mean all the . . I made is an when when that you on you , but can , one is it in in the public something people , we we pursue to being"
