epochs,dropout,model,earlystopping,dropout.1,embedding,hidden,filename,tweets,loss
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5","<s> . I have therefore to a the history of the first five . . . I will be signing , Pioneers and those ! . . <MEDIA> </s>",3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5","<s> The Democrats are allowing of <MEDIA> . . I have therefore the best shape , and , the Dems are pouring so , but will never be . The . So , . . and the DNC . A will always upset and , and , and the Electoral .",3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5","<s> The Fake Media is the Paris Environmental Accord , and the Mueller of the World the first . , and , Economy will the strongest , and Increase significantly the Border , but is the Dems is ! . </s>",3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5",<s> The Fake is a good ! </s>,3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5","<s> <MEDIA> . The the phrase of OHIO , the . , and the complexity of , the envy of the page , the envy . It will soon ! the United States ! <MEDIA> . . </s>",3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5",<s> . . The . . . This will always upset to </s>,3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5","<s> The Democrats are here today the United Kingdom . . The the Democrats . But , but of the U of the Electoral . This will never ! the U ! </s>",3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5","<s> The Democrats is the Paris , and , we the Democrats are of a very important Summit , . We have an outstanding , and , Economy is ! </s>",3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5",<s> <MEDIA> <MEDIA> . . </s>,3.720484515
50,0.3,glove,-1,0.3,50,50,"glove_500_trump_1.hdf5",<s> <MEDIA> </s>,3.720484515
50,0.3,glove,-1,0.3,100,100,"glove_500_trump_2.hdf5","<s> The Fake Fast , and , I haven't the Obama ! </s>",2.242398394
